Autonomous city and community of death;Covid-19;Month of death;Gender;Place of death;Total
Aragón;Other causes;October;Total;Total;1.120
Aragón;Other causes;October;Total;Hospital centre;572
Aragón;Other causes;October;Total;Home;337
Aragón;Other causes;October;Total;Health care home;170
Aragón;Other causes;October;Total;Other place;31
Aragón;Other causes;October;Total;Not specified;10
Aragón;Other causes;October;Men;Total;556
Aragón;Other causes;October;Men;Hospital centre;304
Aragón;Other causes;October;Men;Home;170
Aragón;Other causes;October;Men;Health care home;50
Aragón;Other causes;October;Men;Other place;24
Aragón;Other causes;October;Men;Not specified;8
Aragón;Other causes;October;Women;Total;564
Aragón;Other causes;October;Women;Hospital centre;268
Aragón;Other causes;October;Women;Home;167
Aragón;Other causes;October;Women;Health care home;120
Aragón;Other causes;October;Women;Other place;7
Aragón;Other causes;October;Women;Not specified;2
Aragón;Other causes;November;Total;Total;1.110
Aragón;Other causes;November;Total;Hospital centre;548
Aragón;Other causes;November;Total;Home;346
Aragón;Other causes;November;Total;Health care home;186
Aragón;Other causes;November;Total;Other place;15
Aragón;Other causes;November;Total;Not specified;15
Aragón;Other causes;November;Men;Total;536
Aragón;Other causes;November;Men;Hospital centre;282
Aragón;Other causes;November;Men;Home;176
Aragón;Other causes;November;Men;Health care home;58
Aragón;Other causes;November;Men;Other place;10
Aragón;Other causes;November;Men;Not specified;10
Aragón;Other causes;November;Women;Total;574
Aragón;Other causes;November;Women;Hospital centre;266
Aragón;Other causes;November;Women;Home;170
Aragón;Other causes;November;Women;Health care home;128
Aragón;Other causes;November;Women;Other place;5
Aragón;Other causes;November;Women;Not specified;5
Aragón;Other causes;December;Total;Total;1.094
Aragón;Other causes;December;Total;Hospital centre;541
Aragón;Other causes;December;Total;Home;388
Aragón;Other causes;December;Total;Health care home;145
Aragón;Other causes;December;Total;Other place;11
Aragón;Other causes;December;Total;Not specified;9
Aragón;Other causes;December;Men;Total;557
Aragón;Other causes;December;Men;Hospital centre;288
Aragón;Other causes;December;Men;Home;203
Aragón;Other causes;December;Men;Health care home;54
Aragón;Other causes;December;Men;Other place;8
Aragón;Other causes;December;Men;Not specified;4
Aragón;Other causes;December;Women;Total;537
Aragón;Other causes;December;Women;Hospital centre;253
Aragón;Other causes;December;Women;Home;185
Aragón;Other causes;December;Women;Health care home;91
Aragón;Other causes;December;Women;Other place;3
Aragón;Other causes;December;Women;Not specified;5
Asturias, Principado de;Total;Total;Total;Total;14.578
Asturias, Principado de;Total;Total;Total;Hospital centre;7.594
Asturias, Principado de;Total;Total;Total;Home;4.213
Asturias, Principado de;Total;Total;Total;Health care home;2.056
Asturias, Principado de;Total;Total;Total;Other place;274
Asturias, Principado de;Total;Total;Total;Not specified;441
Asturias, Principado de;Total;Total;Men;Total;7.085
Asturias, Principado de;Total;Total;Men;Hospital centre;3.935
Asturias, Principado de;Total;Total;Men;Home;2.057
Asturias, Principado de;Total;Total;Men;Health care home;648
Asturias, Principado de;Total;Total;Men;Other place;198
Asturias, Principado de;Total;Total;Men;Not specified;247
Asturias, Principado de;Total;Total;Women;Total;7.493
Asturias, Principado de;Total;Total;Women;Hospital centre;3.659
Asturias, Principado de;Total;Total;Women;Home;2.156
Asturias, Principado de;Total;Total;Women;Health care home;1.408
Asturias, Principado de;Total;Total;Women;Other place;76
Asturias, Principado de;Total;Total;Women;Not specified;194
Asturias, Principado de;Total;January;Total;Total;1.409
Asturias, Principado de;Total;January;Total;Hospital centre;742
Asturias, Principado de;Total;January;Total;Home;382
Asturias, Principado de;Total;January;Total;Health care home;207
Asturias, Principado de;Total;January;Total;Other place;32
Asturias, Principado de;Total;January;Total;Not specified;46
Asturias, Principado de;Total;January;Men;Total;674
Asturias, Principado de;Total;January;Men;Hospital centre;368
Asturias, Principado de;Total;January;Men;Home;185
Asturias, Principado de;Total;January;Men;Health care home;66
Asturias, Principado de;Total;January;Men;Other place;24
Asturias, Principado de;Total;January;Men;Not specified;31
Asturias, Principado de;Total;January;Women;Total;735
Asturias, Principado de;Total;January;Women;Hospital centre;374
Asturias, Principado de;Total;January;Women;Home;197
Asturias, Principado de;Total;January;Women;Health care home;141
Asturias, Principado de;Total;January;Women;Other place;8
Asturias, Principado de;Total;January;Women;Not specified;15
Asturias, Principado de;Total;February;Total;Total;1.098
Asturias, Principado de;Total;February;Total;Hospital centre;578
Asturias, Principado de;Total;February;Total;Home;308
Asturias, Principado de;Total;February;Total;Health care home;153
Asturias, Principado de;Total;February;Total;Other place;24
Asturias, Principado de;Total;February;Total;Not specified;35
Asturias, Principado de;Total;February;Men;Total;531
Asturias, Principado de;Total;February;Men;Hospital centre;304
Asturias, Principado de;Total;February;Men;Home;149
Asturias, Principado de;Total;February;Men;Health care home;50
Asturias, Principado de;Total;February;Men;Other place;14
Asturias, Principado de;Total;February;Men;Not specified;14
Asturias, Principado de;Total;February;Women;Total;567
Asturias, Principado de;Total;February;Women;Hospital centre;274
Asturias, Principado de;Total;February;Women;Home;159
Asturias, Principado de;Total;February;Women;Health care home;103
Asturias, Principado de;Total;February;Women;Other place;10
Asturias, Principado de;Total;February;Women;Not specified;21
Asturias, Principado de;Total;March;Total;Total;1.296
Asturias, Principado de;Total;March;Total;Hospital centre;674
Asturias, Principado de;Total;March;Total;Home;338
Asturias, Principado de;Total;March;Total;Health care home;228
Asturias, Principado de;Total;March;Total;Other place;18
Asturias, Principado de;Total;March;Total;Not specified;38
Asturias, Principado de;Total;March;Men;Total;657
Asturias, Principado de;Total;March;Men;Hospital centre;375
Asturias, Principado de;Total;March;Men;Home;178
Asturias, Principado de;Total;March;Men;Health care home;72
Asturias, Principado de;Total;March;Men;Other place;13
Asturias, Principado de;Total;March;Men;Not specified;19
Asturias, Principado de;Total;March;Women;Total;639
Asturias, Principado de;Total;March;Women;Hospital centre;299
Asturias, Principado de;Total;March;Women;Home;160
Asturias, Principado de;Total;March;Women;Health care home;156
Asturias, Principado de;Total;March;Women;Other place;5
Asturias, Principado de;Total;March;Women;Not specified;19
Asturias, Principado de;Total;April;Total;Total;1.331
Asturias, Principado de;Total;April;Total;Hospital centre;671
Asturias, Principado de;Total;April;Total;Home;378
Asturias, Principado de;Total;April;Total;Health care home;219
Asturias, Principado de;Total;April;Total;Other place;21
Asturias, Principado de;Total;April;Total;Not specified;42
Asturias, Principado de;Total;April;Men;Total;610
Asturias, Principado de;Total;April;Men;Hospital centre;319
Asturias, Principado de;Total;April;Men;Home;188
Asturias, Principado de;Total;April;Men;Health care home;65
Asturias, Principado de;Total;April;Men;Other place;15
Asturias, Principado de;Total;April;Men;Not specified;23
Asturias, Principado de;Total;April;Women;Total;721
Asturias, Principado de;Total;April;Women;Hospital centre;352
Asturias, Principado de;Total;April;Women;Home;190
Asturias, Principado de;Total;April;Women;Health care home;154
Asturias, Principado de;Total;April;Women;Other place;6
Asturias, Principado de;Total;April;Women;Not specified;19
Asturias, Principado de;Total;May;Total;Total;1.096
Asturias, Principado de;Total;May;Total;Hospital centre;558
Asturias, Principado de;Total;May;Total;Home;310
Asturias, Principado de;Total;May;Total;Health care home;143
Asturias, Principado de;Total;May;Total;Other place;39
Asturias, Principado de;Total;May;Total;Not specified;46
Asturias, Principado de;Total;May;Men;Total;512
Asturias, Principado de;Total;May;Men;Hospital centre;275
Asturias, Principado de;Total;May;Men;Home;143
Asturias, Principado de;Total;May;Men;Health care home;39
Asturias, Principado de;Total;May;Men;Other place;29
Asturias, Principado de;Total;May;Men;Not specified;26
Asturias, Principado de;Total;May;Women;Total;584
Asturias, Principado de;Total;May;Women;Hospital centre;283
Asturias, Principado de;Total;May;Women;Home;167
Asturias, Principado de;Total;May;Women;Health care home;104
Asturias, Principado de;Total;May;Women;Other place;10
Asturias, Principado de;Total;May;Women;Not specified;20
Asturias, Principado de;Total;June;Total;Total;1.008
Asturias, Principado de;Total;June;Total;Hospital centre;492
Asturias, Principado de;Total;June;Total;Home;332
Asturias, Principado de;Total;June;Total;Health care home;128
Asturias, Principado de;Total;June;Total;Other place;10
Asturias, Principado de;Total;June;Total;Not specified;46
Asturias, Principado de;Total;June;Men;Total;503
Asturias, Principado de;Total;June;Men;Hospital centre;258
Asturias, Principado de;Total;June;Men;Home;168
Asturias, Principado de;Total;June;Men;Health care home;39
Asturias, Principado de;Total;June;Men;Other place;9
Asturias, Principado de;Total;June;Men;Not specified;29
Asturias, Principado de;Total;June;Women;Total;505
Asturias, Principado de;Total;June;Women;Hospital centre;234
Asturias, Principado de;Total;June;Women;Home;164
Asturias, Principado de;Total;June;Women;Health care home;89
Asturias, Principado de;Total;June;Women;Other place;1
Asturias, Principado de;Total;June;Women;Not specified;17
Asturias, Principado de;Total;July;Total;Total;981
Asturias, Principado de;Total;July;Total;Hospital centre;504
Asturias, Principado de;Total;July;Total;Home;291
Asturias, Principado de;Total;July;Total;Health care home;144
Asturias, Principado de;Total;July;Total;Other place;15
Asturias, Principado de;Total;July;Total;Not specified;27
Asturias, Principado de;Total;July;Men;Total;479
Asturias, Principado de;Total;July;Men;Hospital centre;267
Asturias, Principado de;Total;July;Men;Home;152
Asturias, Principado de;Total;July;Men;Health care home;36
Asturias, Principado de;Total;July;Men;Other place;10
Asturias, Principado de;Total;July;Men;Not specified;14
Asturias, Principado de;Total;July;Women;Total;502
Asturias, Principado de;Total;July;Women;Hospital centre;237
Asturias, Principado de;Total;July;Women;Home;139
Asturias, Principado de;Total;July;Women;Health care home;108
Asturias, Principado de;Total;July;Women;Other place;5
Asturias, Principado de;Total;July;Women;Not specified;13
Asturias, Principado de;Total;August;Total;Total;1.098
Asturias, Principado de;Total;August;Total;Hospital centre;550
Asturias, Principado de;Total;August;Total;Home;330
Asturias, Principado de;Total;August;Total;Health care home;173
Asturias, Principado de;Total;August;Total;Other place;17
Asturias, Principado de;Total;August;Total;Not specified;28
Asturias, Principado de;Total;August;Men;Total;507
Asturias, Principado de;Total;August;Men;Hospital centre;284
Asturias, Principado de;Total;August;Men;Home;134
Asturias, Principado de;Total;August;Men;Health care home;61
Asturias, Principado de;Total;August;Men;Other place;12
Asturias, Principado de;Total;August;Men;Not specified;16
Asturias, Principado de;Total;August;Women;Total;591
Asturias, Principado de;Total;August;Women;Hospital centre;266
Asturias, Principado de;Total;August;Women;Home;196
Asturias, Principado de;Total;August;Women;Health care home;112
Asturias, Principado de;Total;August;Women;Other place;5
Asturias, Principado de;Total;August;Women;Not specified;12
Asturias, Principado de;Total;September;Total;Total;989
Asturias, Principado de;Total;September;Total;Hospital centre;494
Asturias, Principado de;Total;September;Total;Home;340
Asturias, Principado de;Total;September;Total;Health care home;122
Asturias, Principado de;Total;September;Total;Other place;17
Asturias, Principado de;Total;September;Total;Not specified;16
Asturias, Principado de;Total;September;Men;Total;504
Asturias, Principado de;Total;September;Men;Hospital centre;269
Asturias, Principado de;Total;September;Men;Home;166
Asturias, Principado de;Total;September;Men;Health care home;48
Asturias, Principado de;Total;September;Men;Other place;12
Asturias, Principado de;Total;September;Men;Not specified;9
Asturias, Principado de;Total;September;Women;Total;485
Asturias, Principado de;Total;September;Women;Hospital centre;225
Asturias, Principado de;Total;September;Women;Home;174
Asturias, Principado de;Total;September;Women;Health care home;74
Asturias, Principado de;Total;September;Women;Other place;5
Asturias, Principado de;Total;September;Women;Not specified;7
Asturias, Principado de;Total;October;Total;Total;1.169
Asturias, Principado de;Total;October;Total;Hospital centre;610
Asturias, Principado de;Total;October;Total;Home;377
Asturias, Principado de;Total;October;Total;Health care home;136
Asturias, Principado de;Total;October;Total;Other place;9
Asturias, Principado de;Total;October;Total;Not specified;37
Asturias, Principado de;Total;October;Men;Total;589
Asturias, Principado de;Total;October;Men;Hospital centre;329
Asturias, Principado de;Total;October;Men;Home;188
Asturias, Principado de;Total;October;Men;Health care home;46
Asturias, Principado de;Total;October;Men;Other place;4
Asturias, Principado de;Total;October;Men;Not specified;22
Asturias, Principado de;Total;October;Women;Total;580
Asturias, Principado de;Total;October;Women;Hospital centre;281
Asturias, Principado de;Total;October;Women;Home;189
Asturias, Principado de;Total;October;Women;Health care home;90
Asturias, Principado de;Total;October;Women;Other place;5
Asturias, Principado de;Total;October;Women;Not specified;15
Asturias, Principado de;Total;November;Total;Total;1.698
Asturias, Principado de;Total;November;Total;Hospital centre;964
Asturias, Principado de;Total;November;Total;Home;431
Asturias, Principado de;Total;November;Total;Health care home;222
